ID,PAGE/COMPONENT,ELEMENT TYPE,VISIBLE LABEL,DESTINATION,STATUS,SEVERITY,NOTES
LNK-44,"src/app/(storefront)/page.tsx","Link","✓ VERIFIED SPEC                 {prod.isIndian ? �","`/products/${prod.id","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-45,"src/app/(storefront)/page.tsx","Link","Explore manufacturer ecosystem","/manufacturers","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-46,"src/app/(storefront)/page.tsx","Link","{mfg.name}                   {mfg.isIndian && 🇮🇳","`/manufacturers/${mfg.name.toLowerCase().replace(/ /g, ","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-47,"src/app/(storefront)/page.tsx","Link","Browse Catalog","/products","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-48,"src/app/(storefront)/page.tsx","Link","View all resources","/engineering","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-49,"src/app/(storefront)/page.tsx","Link","{res.tag}               {res.title}               ","/engineering","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-50,"src/app/(storefront)/products/[id]/page.tsx","Link","Browse All Products","/products","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-51,"src/app/(storefront)/products/[id]/page.tsx","Link","Home","/","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-52,"src/app/(storefront)/products/[id]/page.tsx","Link","Products","/products","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-53,"src/app/(storefront)/products/[id]/page.tsx","Link","Propulsion","/categories/propulsion","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-54,"src/app/(storefront)/products/[id]/page.tsx","Link","Run Compatibility Check","`/compatibility?component=${product.id","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-55,"src/app/(storefront)/products/[id]/page.tsx","Link","Compare offers","`/compare?add=${product.id","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-56,"src/app/(storefront)/products/page.tsx","Link","{/* COMPARE CHECKBOX HOVER */}                    ","`/products/${prod.id","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-57,"src/app/(storefront)/quote-request/page.tsx","Link","Browse Products","/products","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-58,"src/app/(storefront)/quote-request/success/page.tsx","Link","View Quote Status","quoteId ? `/account/quotes/${quoteId","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-59,"src/app/(storefront)/quote-request/success/page.tsx","Link","Continue Browsing","/products","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-60,"src/app/(storefront)/sell/page.tsx","Link","Register Seller Account","/signup?role=seller","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-61,"src/app/(storefront)/sell/page.tsx","Link","Already a Seller? Sign In","/login","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-62,"src/app/(storefront)/support/page.tsx","Link","Open Ticket","/account/tickets","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-63,"src/app/(storefront)/support/page.tsx","Link","File RMA Claim","/account/rma","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-64,"src/app/(storefront)/support/page.tsx","Link","Check Warranties","/account/warranties","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-65,"src/app/account/layout.tsx","Link","Account Dashboard","/account","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-66,"src/app/account/layout.tsx","Link","Orders & Tracking","/account/orders","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-67,"src/app/account/layout.tsx","Link","Technical RMA & Returns","/account/rma","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-68,"src/app/account/layout.tsx","Link","Active Warranties","/account/warranties","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-69,"src/app/account/layout.tsx","Link","Support Tickets & SLAs","/account/tickets","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-70,"src/app/account/layout.tsx","Link","Organization Workspace","/organization/dashboard","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-71,"src/app/account/layout.tsx","Link","Ops Mission Control","/ops","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-72,"src/app/account/orders/[id]/page.tsx","Link","Back to Orders","/account/orders","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-73,"src/app/account/orders/page.tsx","Link","Track Package","`/account/orders/${order.id","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-74,"src/app/account/page.tsx","Link","Edit Profile","/account/profile","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-75,"src/app/account/page.tsx","Link","View Details","`/account/quotes/${quote.id","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-76,"src/app/account/page.tsx","Link","Contact Support","/support","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-77,"src/app/account/quotes/page.tsx","Link","View Details","`/account/quotes/${quote.id","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-78,"src/app/engineering/layout.tsx","Link","Propulsion Calculator","/engineering/calculator","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-79,"src/app/engineering/layout.tsx","Link","Customer Account","/account","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-80,"src/app/engineering/layout.tsx","Link","Ops Mission Control","/ops","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-81,"src/app/ops/catalog/products/page.tsx","Link","Add Product","/ops/catalog/products/new","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-82,"src/app/ops/catalog/products/page.tsx","Link","Edit","`/ops/catalog/products/${p.id","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-83,"src/app/ops/control-center/[featureKey]/page.tsx","Link","Back to Control Center","/ops/control-center","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-84,"src/app/ops/control-center/page.tsx","Link","Inspect","`/ops/control-center/${cap.key","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-85,"src/app/ops/layout.tsx","Link","Return to Store","/","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-86,"src/app/ops/layout.tsx","Link","Ops Overview","/ops","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-87,"src/app/ops/layout.tsx","Link","Products Catalog","/ops/catalog/products","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-88,"src/app/ops/layout.tsx","Link","Quote Inbox","/ops/quotes","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-89,"src/app/ops/layout.tsx","Link","Control Center","/ops/control-center","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-90,"src/app/ops/layout.tsx","Link","PIM Catalog Verification","/ops/catalog","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-91,"src/app/ops/layout.tsx","Link","Support Desk & SLAs","/ops/tickets","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-92,"src/app/ops/layout.tsx","Link","Fulfillment & Logistics","/ops/fulfillment","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-93,"src/app/ops/layout.tsx","Link","Incidents & SLAs","/ops/incidents","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-94,"src/app/ops/layout.tsx","Link","RMA Quarantine Desk","/ops/rma","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-95,"src/app/ops/layout.tsx","Link","Specification Analysis","/ops/catalog/specifications","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-96,"src/app/ops/layout.tsx","Link","MPN Resolution Desk","/ops/catalog/mpn-resolution","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-97,"src/app/ops/layout.tsx","Link","Buyer/Seller Disputes","/ops/disputes","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-98,"src/app/ops/layout.tsx","Link","Financial Ledger Recon","/ops/reconciliation","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-99,"src/app/ops/layout.tsx","Link","Core Finance Ledger","/ops/finance/ledger","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-100,"src/app/ops/layout.tsx","Link","Invoices & Billing","/ops/finance/invoices","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-101,"src/app/ops/layout.tsx","Link","Seller Payouts","/ops/finance/payouts","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-102,"src/app/ops/layout.tsx","Link","Financial Reports","/ops/finance/reports","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-103,"src/app/ops/layout.tsx","Link","Compliance Audits","/ops/compliance","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-104,"src/app/ops/layout.tsx","Link","Identity & RBAC Control","/ops/platform/rbac","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-105,"src/app/ops/layout.tsx","Link","Notification Engine","/ops/platform/notifications","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-106,"src/app/ops/layout.tsx","Link","System Audit Trail","/ops/audit-logs","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-107,"src/app/ops/layout.tsx","Link","Customer Account","/account","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-108,"src/app/ops/layout.tsx","Link","Organization Workspace","/organization/dashboard","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-109,"src/app/ops/quotes/page.tsx","Link","Review","`/ops/quotes/${quote.id","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-110,"src/app/organization/layout.tsx","Link","B2B Org Dashboard","/organization/dashboard","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-111,"src/app/organization/layout.tsx","Link","Engineering Projects","/organization/projects","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-112,"src/app/organization/layout.tsx","Link","Members & Roles","/organization/members","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-113,"src/app/organization/layout.tsx","Link","PO Approvals","/organization/procurement/approvals","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-114,"src/app/organization/layout.tsx","Link","Purchase Orders","/organization/procurement/purchase-orders","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-115,"src/app/organization/layout.tsx","Link","Procurement History","/organization/procurement/history","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-116,"src/app/organization/layout.tsx","Link","Supplier Network","/organization/procurement/suppliers","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-117,"src/app/organization/layout.tsx","Link","Customer Account","/account","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-118,"src/app/organization/layout.tsx","Link","Ops Mission Control","/ops","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-119,"src/app/seller/layout.tsx","Link","Seller Dashboard","/seller/dashboard","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-120,"src/app/seller/layout.tsx","Link","Offers & SKU Mapping","/seller/offers","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-121,"src/app/seller/layout.tsx","Link","Inventory Stock Levels","/seller/inventory","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-122,"src/app/seller/layout.tsx","Link","Fulfillment & Orders","/seller/orders","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-123,"src/app/seller/layout.tsx","Link","Razorpay Payouts","/seller/payouts","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-124,"src/app/seller/layout.tsx","Link","Catalog & Pricing","/seller/catalog","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-125,"src/app/seller/layout.tsx","Link","Store Analytics","/seller/analytics","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-126,"src/app/seller/layout.tsx","Link","Returns & Warranty","/seller/returns","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-127,"src/app/seller/layout.tsx","Link","Customer Account","/account","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-128,"src/app/seller/layout.tsx","Link","Organization Workspace","/organization/dashboard","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-129,"src/app/seller/layout.tsx","Link","Ops Mission Control","/ops","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-130,"src/components/layout/Footer.tsx","Link","RUDRASTRA","/","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-131,"src/components/layout/Footer.tsx","Link","Categories","/categories","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-132,"src/components/layout/Footer.tsx","Link","Component Catalog","/products","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-133,"src/components/layout/Footer.tsx","Link","Manufacturers","/manufacturers","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-134,"src/components/layout/Footer.tsx","Link","Contact Support","/account/support","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-135,"src/components/layout/Footer.tsx","Link","Procurement Cart","/cart","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-136,"src/components/layout/Footer.tsx","Link","Account Dashboard","/account","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-137,"src/components/layout/Footer.tsx","Link","Request a Quote","/quote-request","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-138,"src/components/layout/Footer.tsx","Link","Ops Mission Control","/ops","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-139,"src/components/layout/Footer.tsx","Link","Privacy Policy","/privacy","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-140,"src/components/layout/Footer.tsx","Link","Terms of Service","/terms","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-141,"src/components/layout/Navbar.tsx","Link","RUDRASTRA","/","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-142,"src/components/layout/Navbar.tsx","Link","{link.name}","link.path","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-143,"src/components/layout/Navbar.tsx","Link","{cartState?.summary.itemCount || 0}","/cart","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-144,"src/components/layout/Navbar.tsx","Link","Request Quote","/quote-request","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-145,"src/components/layout/Navbar.tsx","Link","Sign In","/login","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-146,"src/components/layout/Navbar.tsx","Link","Create Account","/signup","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-147,"src/components/layout/Navbar.tsx","Link","setIsProfileOpen(false)}                         c","/account","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-148,"src/components/layout/Navbar.tsx","Link","setIsProfileOpen(false)}                          ","/account/orders","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-149,"src/components/layout/Navbar.tsx","Link","setIsProfileOpen(false)}                          ","/account/rma","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-150,"src/components/layout/Navbar.tsx","Link","setIsProfileOpen(false)}                          ","/organization/dashboard","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-151,"src/components/layout/Navbar.tsx","Link","setIsProfileOpen(false)}                          ","/seller/dashboard","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-152,"src/components/layout/Navbar.tsx","Link","setIsProfileOpen(false)}                          ","/seller/offers","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-153,"src/components/layout/Navbar.tsx","Link","setIsProfileOpen(false)}                          ","/seller/inventory","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-154,"src/components/layout/Navbar.tsx","Link","setIsProfileOpen(false)}                          ","/seller/payouts","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-155,"src/components/layout/Navbar.tsx","Link","setIsProfileOpen(false)}                         c","/ops","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-156,"src/components/layout/Navbar.tsx","Link","setIsProfileOpen(false)}                         c","/ops/catalog/products","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-157,"src/components/layout/Navbar.tsx","Link","setIsProfileOpen(false)}                          ","/ops/audit-logs","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-158,"src/components/layout/Navbar.tsx","Link","setIsMobileMenuOpen(false)}                 classN","link.path","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-159,"src/components/layout/Navbar.tsx","Link","setIsMobileMenuOpen(false)} className="block px-3 ","/cart","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-160,"src/components/layout/Navbar.tsx","Link","setIsMobileMenuOpen(false)} className="block px-3 ","/rfq","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-161,"src/components/layout/Navbar.tsx","Link","setIsMobileMenuOpen(false)} className="py-2 text-c","/login","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-162,"src/components/layout/Navbar.tsx","Link","setIsMobileMenuOpen(false)} className="py-2 text-c","/signup","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
LNK-163,"src/components/layout/Navbar.tsx","Link","setIsMobileMenuOpen(false)} className="block px-3 ","/account","UNVERIFIED (No Browser)","P1","Needs manual/runtime verify"
